date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:50	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Nov%202024%2023:02:51%20GMT	https://nonfungiblecrib.my.canva.site/robots.txt		(from )
00:02:50	107185/107185	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202024%2022:26:55%20GMT	https://nonfungiblecrib.my.canva.site/	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/index.html	(from )
00:02:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:51%20GMT	http://nonfungiblecrib.my.canva.site/a0684b0780c739e9.vendor.ltr.css	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/a0684b0780c739e9.vendor.ltr.0.delayed	(from https://nonfungiblecrib.my.canva.site/)
00:02:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:51%20GMT	http://nonfungiblecrib.my.canva.site/3fb7aa80ff4ac209.ltr.css	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/3fb7aa80ff4ac209.ltr.css	(from https://nonfungiblecrib.my.canva.site/)
00:02:51	10359/10359	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2022:26:55%20GMT	https://nonfungiblecrib.my.canva.site/a0684b0780c739e9.vendor.ltr.css	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/a0684b0780c739e9.vendor.ltr.css	(from https://nonfungiblecrib.my.canva.site/)
00:02:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:52%20GMT	http://nonfungiblecrib.my.canva.site/static_font_4.ltr.css	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/static_font_4.ltr.css	(from https://nonfungiblecrib.my.canva.site/)
00:02:51	136116/136116	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2022:26:55%20GMT	https://nonfungiblecrib.my.canva.site/3fb7aa80ff4ac209.ltr.css	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/3fb7aa80ff4ac209.ltr.css	(from https://nonfungiblecrib.my.canva.site/)
00:02:51	1506/1506	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2022:26:55%20GMT	https://nonfungiblecrib.my.canva.site/static_font_4.ltr.css	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/static_font_4.ltr.css	(from https://nonfungiblecrib.my.canva.site/)
00:02:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:52%20GMT	http://nonfungiblecrib.my.canva.site/024eb4f3327d2f0f.strings.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/024eb4f3327d2f0f.strings.js	(from https://nonfungiblecrib.my.canva.site/)
00:02:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:53%20GMT	http://nonfungiblecrib.my.canva.site/61f59f93edc009d9.en.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/61f59f93edc009d9.en.js	(from https://nonfungiblecrib.my.canva.site/)
